question,evidence,ground_truth,url,source
What is the difference between the MOMA dataset and the MOMA-LRG dataset?,"['Comparison with MOMA [ 20 ] .', 'First of all , MOMA-LRG introduces a new dataset and a new abstraction of human activity .', 'MOMA-LRG contains an order of magnitude more annotations , along with longer videos from a greater variety of scenes .', 'In addition , MOMA-LRG introduces activity graphs as the overarching graphical representation across all three levels of hierarchy , as opposed to only the atomic level .', 'Secondly , MOMA-LRG is directly motivated by the rise and limitations of VLMs .', 'While VLMs have demonstrated remarkable generalization on videos from new domains and improved scalability through training on free video-language pairs , there is a lack of a single overarching task for evaluating VLMs on complex activity recognition .', 'new annotation schema that can be easily converted from natural language to graphical annotations to enable few-shot learning , and a new framework ( GraphVLM ) to evaluate VLMs on activity parsing .']","MOMA-LRG contains an order of magnitude more annotations, along
with longer videos from a greater variety of scenes. Besides, MOMA-LRG introduces new annotation schema that allows for easy integration into VLMs.",https://openreview.net/forum?id=eJhc_CPXQIT,3
Is the activity graph an abstraction of the MOMA dataset that enables evaluation on different levels of granularity?,"['The key abstraction of MOMA-LRG is the activity graph , an all-encompassing and humaninterpretable representation of human activities that captures temporal changes and compositionality .']",Yes.,https://openreview.net/forum?id=eJhc_CPXQIT,3
How does GraphVLM relate to the activity graphs proposed as an abstraction on top of the MOMA dataset?,"['Lastly , we introduce GraphVLM as our framework for evaluating VLMs on activity parsing , consisting of an activity parsing model and a transfer learning paradigm .']",GraphVLM is the model we developed that predicts the activities graphs from raw videos.,https://openreview.net/forum?id=eJhc_CPXQIT,3
"How can the authors ensure that the natural language sentences produced from the ""ground truth"" activity graphs accurately describe the scene?","['To do this , we provide graphical annotations that are easily compatible with natural language through two conventions .', 'First , predicate classes are of the form [ src ] [ predicate ] [ trg ] , where src is the source entity and trg the target entity .', 'This enables easy conversion to natural language given graphical annotations .', 'For example , given an outgoing predicate edge with class [ src ] talking to [ trg ] from the entity cashier onto the entity customer , we can produce the sentence the cashier is talking to a customer .', 'Second , all of our annotations are in the present continuous tense , e.g .']",We ensure this by making sure that the natural language annotations are grounded on the activity graph annotation.,https://openreview.net/forum?id=eJhc_CPXQIT,3
What criteria were used to select the videos and classes for the study?,['This is inspired by the fact that complex human activities in real-world settings are usually hierarchical and compositional across space and time .'],We selected videos and classes that contain complex human activities that are hierarchical and compositional.,https://openreview.net/forum?id=eJhc_CPXQIT,3
What ethical considerations were taken into account when selecting the data for the dataset?,"['The key abstraction of MOMA-LRG is the activity graph , an all-encompassing and humaninterpretable representation of human activities that captures temporal changes and compositionality .']","Firstly, we carefully selected gender-neutral, culturally inclusive, and diverse activity classes in our taxonomy. Secondly, a diverse team of researchers examined and discussed each video to ensure diversity and absence of offensive content. We used keywords in multiple languages to search for videos. Lastly, diversifying the videos improved model robustness, generalization, and significantly reduced potential bias in the dataset.",https://openreview.net/forum?id=eJhc_CPXQIT,3
What is the source of the dataset?,['Prior research [ 93 ] shows that Youtube videos exhibit geographic bias .'],The dataset was collected on Youtube.,https://openreview.net/forum?id=eJhc_CPXQIT,3
Is the dataset under a Creative Commons license?,"['Specifically , we will use Attribution 4.0 International ( CC BY 4.0 ) .', 'We plan to license our dataset under a CC BY license to allow for broad use of our work across research and industry .']",Yes.,https://openreview.net/forum?id=eJhc_CPXQIT,3
What is the target KB size used for MedMentions in the experiments?,"['The total KB size of MedMentions and ZeShEL is 2.3M and 492K , respectively .']",The KB size for MedMentions is 2.3M.,https://aclanthology.org/2022.naacl-main.343.pdf,1
Do the training and inference batches contain mentions from the same document to leverage coreferent mentions as much as possible?,"['We optimize f ( · , · ) using mini-batch gradient descent by sequentially building batches of mentions B ⊂ M over the training data , where each mi ∈ B has its gold entity defined by e ⋆ i .', 'We then build a graph GB with nodes consisting of ( a ) each mi ∈ B , ( b ) each mention coreferent to mi ∈ B , and ( c ) the set of gold entities for each mi ∈ B .']","Yes, the batches may contain mentions from the same document, however they are not restricted to be so nor does the method prefer within-document to across document mentions.",https://aclanthology.org/2022.naacl-main.343.pdf,1
"Does the model need to compute \psi(m_i, e) for all entities in the target knowledge base during inference?","['For each mentionm , construct Em by ( a ) adding edges from m ’ s k-nearest neighbor mentions in M to m , and ( b ) adding an edge from m ’ s nearest entity to m']",No.,https://aclanthology.org/2022.naacl-main.343.pdf,1
Why not use the complete graph for training instead of pruning it?,"['Our proposed method uses a supervised clustering training objective based on forming a directed minimum spanning tree , or arborescence , over mentions and entities .', 'We hypothesize that such coreference links provide a useful inductive bias because the two tasks are inherently related ( Angell et al . , 2021 ; FitzGerald et al . , 2021 ) .', 'In order to jointly train both the mention and entity encoders , we define a similarity measure and an analogous procedure for sampling positive training examples that intersperses the selection of coreferent mentions and gold entities based on a singlelinkage structure formed by the representations generated by the model snapshot .', 'We construct k-nearest neighbor graphs over coreferent mention and entity clusters , followed by the application of a pruning algorithm to generate arborescence ( directed MST ) structures rooted at entity nodes .', 'The resultant edges after pruning the graphs represent the pairs of positive examples used for training .']","Pruning the graph is needed to construct a single-linkage structure that provides the necessary inductive bias at training, which would be missing if the entire graph was used instead.",https://aclanthology.org/2022.naacl-main.343.pdf,1
